Flemish,0.133550,0.142791,0.058913,0.034178,0.043746,0.013547,0.003669,0.005513,0.008693,0.011228,-0.005553,0.004751,-0.011098,-0.003671,0.012822,0.003365,-0.004454,0.001273,0.003565,0.001435,0.004138,-0.000114,-0.000849,0.006766,0.000128
French,0.132389,0.146178,0.054980,0.024637,0.044503,0.009670,0.002641,0.004854,0.011680,0.018098,-0.005061,0.006266,-0.013580,-0.006431,0.011207,0.002769,-0.002995,0.000902,0.002624,0.000363,0.003395,0.000145,-0.001569,0.004115,-0.000004
French_Brittany,0.134789,0.144659,0.061729,0.034583,0.045460,0.013722,0.002891,0.005347,0.010594,0.013900,-0.005783,0.005780,-0.013423,-0.008723,0.015473,0.004560,-0.004894,0.001363,0.002352,0.001421,0.004001,0.001390,-0.001438,0.006437,-0.000521
French_Northeast,0.132673,0.144650,0.054831,0.027665,0.042946,0.010926,0.002982,0.004436,0.008271,0.013742,-0.005604,0.005715,-0.012807,-0.003948,0.012309,0.002566,-0.003532,0.000818,0.003073,0.001680,0.003993,-0.000732,-0.001090,0.005314,0.000300
French_Rhone-Alpes,0.131405,0.150742,0.048095,0.014433,0.044023,0.006590,0.002228,0.003815,0.012748,0.023419,-0.004852,0.007021,-0.014312,-0.004982,0.007305,0.002570,-0.001437,0.001362,0.004335,-0.002133,0.001895,-0.000744,-0.001284,0.002845,0.000465
French_South,0.129789,0.148540,0.049252,0.013818,0.044383,0.005771,0.000389,0.002676,0.014624,0.024121,-0.004596,0.006843,-0.014327,-0.007659,0.008730,0.002476,-0.002072,0.000958,0.002127,-0.001575,0.002457,-0.000239,-0.001609,0.002183,0.000242
German_Baden-Württemberg,0.132657,0.142919,0.052256,0.025848,0.038890,0.010698,0.003735,0.005014,0.005636,0.010999,-0.004220,0.004693,-0.010439,-0.003175,0.008035,0.001879,-0.001988,0.000906,0.003133,0.000409,0.002742,0.000138,-0.000436,0.004759,-0.000016
German_Bavaria_Lower/Middle_Franconia,0.134361,0.143244,0.057054,0.032200,0.040524,0.013405,0.004148,0.005974,0.006207,0.007684,-0.005040,0.003573,-0.009088,-0.004369,0.011662,0.004545,-0.003466,0.000755,0.002768,0.001530,0.001935,0.000801,-0.000427,0.006199,-0.000173
German_Bavaria_Oberpfalz,0.133660,0.140576,0.057605,0.034665,0.040047,0.013966,0.004739,0.006532,0.004389,0.004146,-0.004630,0.002136,-0.005912,0.002481,0.006989,0.001443,-0.002643,0.000715,0.003392,0.001489,0.003431,-0.001264,0.000512,0.005233,0.000477
German_Bavaria_proper,0.132769,0.143736,0.054056,0.027639,0.040417,0.011274,0.003890,0.005541,0.006614,0.010297,-0.004519,0.003983,-0.009691,-0.002271,0.008441,0.001880,-0.002117,0.000822,0.002649,0.001335,0.003964,-0.000121,-0.000499,0.004325,-0.000071
German_Bavarian_Swabia,0.133112,0.144824,0.052526,0.027435,0.041196,0.011868,0.004087,0.005160,0.005812,0.008016,-0.005539,0.002125,-0.005694,0.005468,0.005469,0.003152,-0.001165,0.001223,0.004947,-0.000033,0.002972,-0.003674,0.000389,0.004548,0.001253
German_Brandenburg_Northwest,0.135544,0.135536,0.068500,0.051171,0.045199,0.019870,0.006035,0.008556,0.006494,-0.001109,-0.005701,-0.000319,-0.001939,0.008898,0.005724,0.002941,-0.002125,0.000724,0.005580,0.002718,0.003828,-0.003742,0.001213,0.004843,0.002319
German_Brandenburg_outlier(Beeskow),0.136878,0.135040,0.072938,0.055235,0.048126,0.021560,0.008033,0.010853,0.005062,-0.009987,-0.005279,-0.006436,0.010768,0.029340,-0.010250,-0.001480,0.003533,-0.000352,0.006664,0.001534,0.002127,-0.010150,0.003618,-0.001074,0.004027
German_County_Glatz,0.135403,0.140758,0.062054,0.037427,0.044992,0.015318,0.005999,0.007731,0.007056,0.005453,-0.005612,0.001373,-0.004641,0.010333,0.000832,0.000118,0.001275,0.000377,0.005940,0.002180,0.001328,-0.003909,0.000996,0.002949,0.001230
German_East_Prussia_Central,0.138915,0.137080,0.075079,0.056299,0.047248,0.021661,0.006727,0.009368,0.006728,-0.001988,-0.005937,-0.000012,-0.002499,0.004098,0.009437,0.004242,-0.003661,0.001025,0.004125,0.002511,0.003170,-0.000418,0.000052,0.005641,0.000272
German_East_Prussia_Masuria,0.137957,0.130058,0.078600,0.064779,0.045100,0.024717,0.009151,0.012091,0.002778,-0.014948,-0.004498,-0.006295,0.009840,0.019818,-0.004415,0.001255,0.001540,-0.000382,0.004580,0.002358,0.001176,-0.005246,0.003163,0.000964,0.002285
German_East_Prussia_Memelland,0.138715,0.128543,0.081785,0.071780,0.048631,0.027859,0.009427,0.012432,0.002130,-0.021429,-0.005794,-0.010092,0.016748,0.037187,-0.010232,-0.000567,0.002887,-0.000063,0.007555,0.004007,0.005194,-0.012995,0.004566,-0.000110,0.006041
German_Farther_Pomerania,0.137222,0.134462,0.073418,0.057192,0.045674,0.022049,0.007272,0.010024,0.004628,-0.007722,-0.005055,-0.003013,0.003715,0.014946,0.002276,0.001095,-0.002278,0.000321,0.004714,0.002511,0.004200,-0.004607,0.001594,0.003323,0.002466
German_Frisian,0.137792,0.141046,0.070965,0.050946,0.048528,0.020160,0.004710,0.007025,0.008743,0.004815,-0.007177,0.003003,-0.008847,-0.000726,0.016880,0.005649,-0.006760,0.002087,0.005146,0.003318,0.005959,-0.000542,-0.000630,0.009420,0.000613
German_Hesse_South,0.131722,0.144564,0.054829,0.025996,0.042577,0.010592,0.003170,0.004692,0.009732,0.014824,-0.004605,0.004952,-0.011376,-0.004453,0.008947,0.003247,-0.001857,0.001486,0.003431,0.000089,0.003012,-0.000331,-0.000596,0.004734,0.000418
German_Hither_Pomerania,0.136396,0.137449,0.068522,0.050908,0.043925,0.020214,0.005738,0.008067,0.003907,-0.003435,-0.005609,-0.000241,-0.002252,0.007972,0.008322,0.002131,-0.003931,0.000792,0.004054,0.003574,0.005592,-0.003333,0.001131,0.005655,0.002103
German_Lower_Saxony_North,0.137010,0.137739,0.067919,0.049958,0.043748,0.019722,0.005106,0.007302,0.005622,0.001680,-0.006065,0.002641,-0.007724,-0.001967,0.015836,0.005109,-0.006654,0.001703,0.004195,0.002879,0.005099,0.000517,-0.000382,0.009327,0.000290
German_Lower_Saxony_South,0.135601,0.140724,0.065137,0.044624,0.044311,0.017794,0.005083,0.007106,0.006434,0.003847,-0.005957,0.002732,-0.007267,-0.000059,0.012643,0.003585,-0.005748,0.001354,0.004577,0.001566,0.003321,0.000145,-0.000049,0.008030,-0.000066
German_Lower_Silesia,0.137393,0.137526,0.068506,0.049047,0.045107,0.020075,0.007308,0.009166,0.003975,-0.002999,-0.005437,-0.001786,0.000441,0.016076,-0.003424,0.000102,0.003101,0.000455,0.006055,0.002858,0.002634,-0.005875,0.002555,0.000506,0.003047
German_Mecklenburg_Center/East,0.136836,0.136366,0.068638,0.050824,0.043102,0.020183,0.005966,0.008004,0.003022,-0.003593,-0.005824,0.000333,-0.003069,0.006443,0.009632,0.002770,-0.004404,0.001001,0.004648,0.003398,0.004117,-0.002338,0.001315,0.007277,0.001322
German_Mecklenburg_West,0.137724,0.137660,0.072020,0.054660,0.046561,0.021500,0.006179,0.008523,0.005108,-0.003690,-0.006253,-0.000861,-0.001083,0.009448,0.008029,0.003184,-0.003745,0.001269,0.005396,0.003086,0.004899,-0.003261,0.001278,0.006765,0.001562
German_North_Bohemia,0.135623,0.139481,0.064403,0.041911,0.044572,0.016604,0.005660,0.007914,0.005904,0.002214,-0.005487,0.000321,-0.002957,0.008723,0.001850,0.001369,0.000734,0.000467,0.004952,0.001983,0.001292,-0.003782,0.001988,0.003770,0.001170
German_North_Moravia,0.134709,0.142160,0.057786,0.036452,0.042728,0.015496,0.005042,0.006038,0.004447,0.003390,-0.006858,0.001696,-0.005283,0.008939,0.008057,0.002436,-0.002799,0.001112,0.005558,0.002293,0.003558,-0.004322,0.000324,0.005971,0.001301
German_North_Rhine,0.132754,0.144445,0.054121,0.029395,0.042082,0.012381,0.003666,0.004874,0.007624,0.011994,-0.005428,0.004869,-0.011115,-0.001472,0.010821,0.002609,-0.003520,0.001372,0.003891,0.000907,0.004753,-0.001302,-0.001101,0.004767,0.001102
German_Saarland,0.133395,0.147307,0.054992,0.023995,0.044866,0.009808,0.002754,0.005209,0.011738,0.016868,-0.004823,0.004983,-0.011300,-0.003514,0.007944,0.002594,-0.002346,0.001227,0.004262,0.000222,0.002247,0.000092,-0.000376,0.005600,-0.000041
German_Saxony,0.133664,0.139557,0.063149,0.041944,0.043334,0.016976,0.005680,0.007697,0.005043,-0.000287,-0.005240,-0.000317,-0.001225,0.010503,0.002792,0.001570,-0.001170,0.000480,0.005327,0.001566,0.002603,-0.004107,0.001677,0.004145,0.001932
German_Saxony-Anhalt_South,0.136173,0.138716,0.064934,0.044455,0.044007,0.017468,0.005631,0.007527,0.004690,-0.000141,-0.005507,-0.000111,-0.001592,0.009868,0.003484,0.001682,-0.001682,0.001214,0.006141,0.001323,0.002346,-0.002961,0.001641,0.006522,0.000822
German_Schleswig-Holstein,0.136731,0.139204,0.067484,0.045880,0.045276,0.017961,0.004347,0.006478,0.007487,0.005117,-0.005658,0.003121,-0.008763,-0.000500,0.013077,0.003577,-0.005152,0.001367,0.004477,0.003192,0.005715,-0.000331,-0.000580,0.007422,0.001166
German_Rhineland-Palatinate,0.131793,0.144785,0.053629,0.024390,0.041609,0.010022,0.003066,0.005180,0.009204,0.014328,-0.004618,0.005031,-0.011338,-0.004880,0.009708,0.002890,-0.002937,0.001039,0.003515,0.000471,0.002023,0.000503,-0.000401,0.006058,-0.000242
